Sample Name	Protocol REF	Parameter Value[Extraction Method]	Extract Name	Protocol REF	Parameter Value[NMR tube type]	Term Source REF	Term Accession Number	Parameter Value[Solvent]	Term Source REF	Term Accession Number	Parameter Value[Sample pH]	Parameter Value[Temperature]	Unit	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[NMR Probe]	Term Source REF	Term Accession Number	Parameter Value[Number of transients]	Parameter Value[Pulse sequence name]	Parameter Value[Magnetic field strength]	Unit	Term Source REF	Term Accession Number	Acquisition Parameter Data File	Protocol REF	NMR Assay Name	Free Induction Decay Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
C007	Extraction	D2O	C007	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/161.zip	NMR assay	C007	FILES/161.zip	Data transformation	C007		Metabolite identification	C007	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C008	Extraction	D2O	C008	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/162.zip	NMR assay	C008	FILES/162.zip	Data transformation	C008		Metabolite identification	C008	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C009	Extraction	D2O	C009	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/163.zip	NMR assay	C009	FILES/163.zip	Data transformation	C009		Metabolite identification	C009	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C010	Extraction	D2O	C010	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/164.zip	NMR assay	C010	FILES/164.zip	Data transformation	C010		Metabolite identification	C010	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C011	Extraction	D2O	C011	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/165.zip	NMR assay	C011	FILES/165.zip	Data transformation	C011		Metabolite identification	C011	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C012	Extraction	D2O	C012	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/166.zip	NMR assay	C012	FILES/166.zip	Data transformation	C012		Metabolite identification	C012	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C013	Extraction	D2O	C013	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/167.zip	NMR assay	C013	FILES/167.zip	Data transformation	C013		Metabolite identification	C013	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C014	Extraction	D2O	C014	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/168.zip	NMR assay	C014	FILES/168.zip	Data transformation	C014		Metabolite identification	C014	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C015	Extraction	D2O	C015	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/169.zip	NMR assay	C015	FILES/169.zip	Data transformation	C015		Metabolite identification	C015	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C016	Extraction	D2O	C016	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/170.zip	NMR assay	C016	FILES/170.zip	Data transformation	C016		Metabolite identification	C016	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C017	Extraction	D2O	C017	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/171.zip	NMR assay	C017	FILES/171.zip	Data transformation	C017		Metabolite identification	C017	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C018	Extraction	D2O	C018	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/172.zip	NMR assay	C018	FILES/172.zip	Data transformation	C018		Metabolite identification	C018	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C019	Extraction	D2O	C019	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/173.zip	NMR assay	C019	FILES/173.zip	Data transformation	C019		Metabolite identification	C019	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C020	Extraction	D2O	C020	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/174.zip	NMR assay	C020	FILES/174.zip	Data transformation	C020		Metabolite identification	C020	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C021	Extraction	D2O	C021	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/175.zip	NMR assay	C021	FILES/175.zip	Data transformation	C021		Metabolite identification	C021	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C022	Extraction	D2O	C022	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/176.zip	NMR assay	C022	FILES/176.zip	Data transformation	C022		Metabolite identification	C022	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C023	Extraction	D2O	C023	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/177.zip	NMR assay	C023	FILES/177.zip	Data transformation	C023		Metabolite identification	C023	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C024	Extraction	D2O	C024	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/178.zip	NMR assay	C024	FILES/178.zip	Data transformation	C024		Metabolite identification	C024	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C025	Extraction	D2O	C025	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/179.zip	NMR assay	C025	FILES/179.zip	Data transformation	C025		Metabolite identification	C025	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C026	Extraction	D2O	C026	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/180.zip	NMR assay	C026	FILES/180.zip	Data transformation	C026		Metabolite identification	C026	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C027	Extraction	D2O	C027	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/181.zip	NMR assay	C027	FILES/181.zip	Data transformation	C027		Metabolite identification	C027	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C028	Extraction	D2O	C028	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/182.zip	NMR assay	C028	FILES/182.zip	Data transformation	C028		Metabolite identification	C028	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C029	Extraction	D2O	C029	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/183.zip	NMR assay	C029	FILES/183.zip	Data transformation	C029		Metabolite identification	C029	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C030	Extraction	D2O	C030	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/184.zip	NMR assay	C030	FILES/184.zip	Data transformation	C030		Metabolite identification	C030	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C031	Extraction	D2O	C031	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/185.zip	NMR assay	C031	FILES/185.zip	Data transformation	C031		Metabolite identification	C031	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C032	Extraction	D2O	C032	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/186.zip	NMR assay	C032	FILES/186.zip	Data transformation	C032		Metabolite identification	C032	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C033	Extraction	D2O	C033	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/187.zip	NMR assay	C033	FILES/187.zip	Data transformation	C033		Metabolite identification	C033	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C034	Extraction	D2O	C034	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/188.zip	NMR assay	C034	FILES/188.zip	Data transformation	C034		Metabolite identification	C034	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C035	Extraction	D2O	C035	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/189.zip	NMR assay	C035	FILES/189.zip	Data transformation	C035		Metabolite identification	C035	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C036	Extraction	D2O	C036	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/190.zip	NMR assay	C036	FILES/190.zip	Data transformation	C036		Metabolite identification	C036	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
C037	Extraction	D2O	C037	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000393	0.05 mM phosphate buffered D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000347	7.4	298	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	TCI (1H, 13C, 15N, and 2H lock) cryogenic probe			128	Presaturation, cpmg1d	18.8	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/191.zip	NMR assay	C037	FILES/191.zip	Data transformation	C037		Metabolite identification	C037	m_MTBLS11009_NMR___metabolite_profiling-1_v2_maf.tsv
