 Metabolite_name	RefMet_name	P01-01-4749	P01-02-4750	P02-01-4751	P02-02-4752	P03-01-4753	P03-02-4754	P04-01-4755	P04-02-4756	P05-01-4757	P05-02-4758	P06-01-4759	P06-02-4760	P07-01-4761	P07-02-4762	P08-01-4763	P08-02-4764	P09-01-4765	P09-02-4766	P10-01-4767	P10-02-4768	P11-01-4769	P11-02-4770	P12-01-4771	P12-02-4772	P13-01-4773	P13-02-4774	P14-01-4775	P14-02-4776	P15-01-4777	P15-02-4778	P16-01-4779	P16-02-4780
Factors	-	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer	Treatment:Oral cancer
Benzoic acid	Benzoic acid	1624	1610	400	436	500	568	640	1060	868	720	566	502	812	774	1320	1062	528	618	692	856	646	1070	1172	1110	1504		734	832	1322	1220	604	614
Caffeine	Caffeine	92556	90598	87996	87958	457632	455716	334336	344696	2738	2780	114674	119438	442758	441960	1544	1638	237514	249440	878	742	157474	159358	119864	115198	1350	154	26176	25006	23626	27076	1022	910
Chlorpheniramine	Chlorphenamine	1014	636	1162	1208	1830	1248	166	890	1590	1858	2032	1904	4844	6726	884	980	3574	2438	1492	1364	988	1038	1810	1870	2380	320	1078	1036	994	1192	4406	3526
Cinnamaldehyde	Cinnamaldehyde	2186	1872	338	274	2602	2502	1842	1508	4434	4506	1896	2286	4106	4370	3130	3274	1372	1746	2760	2448	1638	1646	1180	1108	3466	542	5392	4888	2440	2062	1878	2230
Cinnamic acid	trans-Cinnamic acid	21422	23820	1726	2078	8226	7816	10700	11162	14994	12668	18350	15932	9926	7252	15006	15982	11716	12664	12664	11548	21182	20800	21966	21158	25666	284	6144	6106	34644	33482	3606	3856
Citrulline	Citrulline	6568	6346	1398	1370	3416	3632	1086	1030	2442	3028	18360	21692	3934	4242	5882	6202	1156	1200	7130	6958	6348	5876	2952	2488	6726	1940	1414	1894	8820	7396	2414	1868
Corticosterone	Corticosterone	5562	6364	3564	2224	1994	2820	3958	3756	1580	1150	4074	6066	4120	458	530				2410	2428	4892	6072	2436	2968	880	556	1056	1012	6438			
Creatine	Creatine	10012	7864	10752	11930	12066	13844	11330	11838	8562	8742	5072	6058	10822	12718	3856	5290	9712	11856	2648	3628	11756	10804	26620	27574	8214	546	6140	5460	17834	16354	19198	15946
Creatinine	Creatinine	5240	4676	19502	19612	4306	4560	5812	7304	4736	5016	1430	1350	4020	3726	4864	4872	904	712	530	1288	5868	5784	5462	5846	5684	390	786	584	16456	12752	2290	2014
Cytidine	Cytidine	8362	8508	2244	3612	7418	7636	2306	1802	11176	10716	1506	1480	4436	4748	726	258	2020	3444	1838	2472	1230	1450	8560	9304	4806		1240		2426	2388	3424	3534
